Assembly accession,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
GCA_000152985.1,ASM15298v1,,,,,,Scaffold,,,PRJNA13573,SAMN02436111,,Generic sample from Leeuwenhoekiella blandensis MED217,,,Bacilli,,,Leeuwenhoekiella blandensis MED217 Leeuwenhoekiella blandensis MED217 was collected in the NW Mediterranean Sea at a depth of 1 meter and isolated by plating on solid media. This strain is being sequenced for comparative genome analysis.,2015-03-23T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/985/GCA_000152985.1_ASM15298v1,,GCF_000152985.1,AANC01000000,,Leeuwenhoekiella blandensis MED217,,Full,WGS,,,,,Negative,,,,,,,,,,,,,,,,,,,,strain=MED217,,,,isolated by plating on solid media,,,,,,,,,,,,,,,NCBI,398720.0,,Leeuwenhoekiella blandensis MED217,Leeuwenhoekiella blandensis MED217,,,,identical,,,,,17215843,2013-12-04T00:00:00.000,,,representative genome,3735.0,,assembly from type material,Major,,,SAMN02436111,AANC,,2006/04/07,J. Craig Venter Institute,,,,,,,360293.0,,,MED217,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,398720.0,,,,,,type strain of Leeuwenhoekiella blandensis,,,latest,AANC00000000.1,,,False,Unclassified
GCA_000153165.2,ASM15316v2,,,,,,Complete Genome,,,PRJNA13595,SAMN02603923,,Sample from Maribacter sp. HTCC2170,,,,,,"Maribacter sp. HTCC2170.This strain was collected from the coastal area of Newport, Oregon at a depth of 10 meters and was isolated by plating on solid media. This strain will be used for comparative analysis.",2006-02-23T00:00:00Z,,,1.0,,KCCM:42371,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/165/GCA_000153165.2_ASM15316v2,,GCF_000153165.2,CP002157,,Maribacter sp. HTCC2170,,Full,Complete,,"Newport, Oregon",Oregon,"Newport, Oregon",,Aquatic,,,,,,,,,,,,,,,,,,,strain=HTCC2170,,,,"collected from the coastal area of Newport, Oregon at a depth of 10 meters and was isolated by plating on solid media.",United States,,"coastal area of Newport, Oregon at a depth of 10 meters",,,,,,,,,,,,NCBI,313603.0,,Maribacter sp. HTCC2170,Maribacter sp. HTCC2170,,,,identical,,,,,21037013,2014-01-30T14:54:07.533,,NC_014472,,3411.0,,,Major,,,SAMN02603923,CP002157,,2010/08/24,J. Craig Venter Institute,,,,,complete,,313603.0,,,HTCC2170,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313603.0,,,,,,,,,latest,,,,False,Unclassified
GCA_000153225.1,ASM15322v1,,,,,,Scaffold,,,PRJNA13451,SAMN02436114,,Generic sample from Polaribacter irgensii 23-P,,,Rod,,,"Polaribacter irgensii strain 23-P. This organism was isolated from surface water from the Penola Strait, Antarctica. This is the type strain of the species and the genome sequence will provide information on adaptation to cold environments.",2006-02-24T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/225/GCA_000153225.1_ASM15322v1,,GCF_000153225.1,AAOG00000000,,Polaribacter irgensii 23-P,,Full,WGS,,Antarctica; Penola Strait,,Antarctica; Penola Strait,,Aquatic,,,,,,,,,,,,,,,,,,,strain=23-P,,,,"isolated from surface water from the Penola Strait, Antarctica",Antarctica,,"surface water from the Penola Strait, Antarctica",,,,,,,,,,,Yes,NCBI,313594.0,,Polaribacter irgensii 23-P,Polaribacter irgensii 23-P,,,Aerobic,identical,,,,,,2013-12-04T00:00:00.000,,NZ_AAOG00000000,representative genome,2553.0,,assembly from type material,Major,,,SAMN02436114,AAOG,,2006/05/04,J. Craig Venter Institute,,,,,assembly,,531.0,,,23-P,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313594.0,,,Psychrophilic,,,type strain of Polaribacter irgensii,Yes,,latest,AAOG00000000.1,,,False,Unclassified
GCA_000153385.1,ASM15338v1,,,,,,Scaffold,,,PRJNA13604,SAMN02436116,,,,,,,,Flavobacteria bacterium BBFL7.This strain will be used for comparative genomics. ,2006-03-14T00:00:00Z,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/385/GCA_000153385.1_ASM15338v1,,GCF_000153385.1,AAPD00000000,,Flavobacteria bacterium BBFL7,,Full,WGS,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=BBFL7,,,,,,,,,,,,,,,,,,,,156586.0,,,Flavobacteria bacterium BBFL7,,,,identical,,,,,,,,NZ_AAPD00000000,,2587.0,,,Major,,,,,,2006/04/03,J. Craig Venter Institute,,,,,assembly,,156586.0,,,BBFL7,,,,,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,156586.0,,,,,,,,,latest,AAPD00000000.1,,,False,Unclassified
GCA_000153485.2,ASM15348v2,,,,,,Complete Genome,,,PRJNA13542,SAMN02603919,,Sample from Psychroflexus torquis ATCC 700755,,,"Rod, Coccus",,,"Psychroflexus torquis strain ATCC 700755. This strain (ATCC 700755; ACAM 623) is the type strain for the species and was isolated from Prydz Bay, Antarctica from a sea-ice algal assemblage by enrichment on marine agar. ",2006-04-06T00:00:00Z,,,1.0,,ATCC 700755,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/485/GCA_000153485.2_ASM15348v2,,GCF_000153485.2,AAPR00000000,,Psychroflexus torquis ATCC 700755,,Full,WGS,,Antarctica: Prydz Bay,Prydz Bay,Antarctica,,,,,,,,,,,,,,,,,,,,,strain=ATCC 700755,,,,"isolated from Prydz Bay, Antarctica from a sea-ice algal assemblage by enrichment on marine agar",Antarctica,,sea-ice algal assemblage,,,,,,,,,,,Yes,NCBI,313595.0,,Psychroflexus torquis ATCC 700755,Psychroflexus torquis ATCC 700755,,,Aerobic,identical,,,,,,2014-01-30T00:00:00.000,,NZ_AAPR00000000,representative genome,4032.0,,assembly from type material,Major,,,SAMN02603919,CP003879,,2012/10/09,J. Craig Venter Institute,,,,,assembly,,57029.0,,,ATCC700755,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313595.0,,<0-15,Psychrophilic,,,type strain of Psychroflexus torquis,Yes,,latest,,,,False,Unclassified
GCA_000154725.1,ASM15472v1,,,,,,Scaffold,,,PRJNA19315,SAMN02436147,,Generic sample from Kordia algicida OT-1,,,Rod,,,Kordia algicida OT-1. Kordia algicida OT-1 (KCTC 8814P) is the type strain and will be used for comparative analysis.,2007-11-28T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/725/GCA_000154725.1_ASM15472v1,,GCF_000154725.1,ABIB00000000,,Kordia algicida OT-1,,Full,WGS,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=OT-1,,,,,,,,,,,,,,,,,,No,NCBI,391587.0,,Kordia algicida OT-1,Kordia algicida OT-1,,,Aerobic,identical,,,,,,2013-12-04T00:00:00.000,,NZ_ABIB00000000,representative genome,4514.0,,assembly from type material,Major,,Mesophilic,SAMN02436147,ABIB,,2007/11/30,J. Craig Venter Institute,,,,,assembly,,221066.0,,,OT-1,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project,,,391587.0,,,Mesophilic,,,type strain of Kordia algicida,Yes,,latest,ABIB00000000.1,,,False,Unclassified
GCA_000169355.1,ASM16935v1,,,,,,Contig,,,PRJNA18953,SAMN02436123,,Generic sample from Flavobacteria bacterium BAL38,,,Rod,,,Flavobacteria bacterium BAL38. This organism will be used for comparative analysis with other marine microorganisms. ,2007-03-06T00:00:00Z,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/355/GCA_000169355.1_ASM16935v1,,GCF_000169355.1,AAXX00000000,,Flavobacteria bacterium BAL38,,Full,WGS,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=BAL38,,,,,,,,,,,,,,,,,,Yes,NCBI,391598.0,,Flavobacteria bacterium BAL38,Flavobacteria bacterium BAL38,,,Aerobic,identical,,,,,,2013-12-04T14:26:21.960,,NZ_AAXX00000000,,2612.0,,,Major,,,SAMN02436123,AAXX,,2007/03/06,J. Craig Venter Institute,,,,,assembly,,391598.0,,,BAL38,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,391598.0,,,Mesophilic,,,,,,latest,AAXX00000000.1,,,False,Unclassified
GCA_000171875.1,ASM17187v1,,,,,,Contig,,,PRJNA19307,SAMN02436146,,Generic sample from Flavobacteriales bacterium ALC-1,,,,,,Flavobacteriales bacterium ALC-1.This strain will be used for comparative analysis.,2007-11-09T00:00:00Z,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/875/GCA_000171875.1_ASM17187v1,,GCF_000171875.1,ABHI00000000,,Flavobacteriales bacterium ALC-1,,Full,WGS,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=ALC-1,,,,,,,,,,,,,,,,,,,NCBI,391603.0,,Flavobacteriales bacterium ALC-1,Flavobacteriales bacterium ALC-1,,,,identical,,,,,,2013-12-04T14:26:33.683,,NZ_ABHI00000000,,3445.0,,,Major,,,SAMN02436146,ABHI,,2007/11/09,J. Craig Venter Institute,,,,,assembly,,391603.0,,,ALC-1,,,Generic,Generic.1.0,Moore Foundation,,,391603.0,,,,,,,,,latest,ABHI00000000.1,,,False,Unclassified
GCA_000173095.1,ASM17309v1,,,,,,Contig,,,PRJNA28049,SAMN02441803,,,,,,,2005,Flavobacteria bacterium MS024-2A. The DNA for sequencing was obtained by whole-genome multiple displacement amplification. This organism will be used for comparative analysis.,2009-03-16T00:00:00Z,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/095/GCA_000173095.1_ASM17309v1,,GCF_000173095.1,ABVV00000000,,Flavobacteria bacterium MS024-2A,,Full,WGS,,USA: Maine,Maine,USA,,Aquatic,,,,,,,,,,,,,,,,,,,strain=MS024-2A,,,,,United States,,"Boothbay harbor, 1m depth",,,,,,,,,,,,,487796.0,,,Flavobacteria bacterium MS024-2A,,,,identical,,,,,,,,NZ_ABVV00000000,,1772.0,,,Major,"SRR3923699,SRR3923700",,,,,2009/03/16,DOE Joint Genome Institute,,,,,assembly,,487796.0,,,MS024-2A,,,,,US DOE Joint Genome Institute (JGI-PGF),,,487796.0,,,Mesophilic,,,,,,latest,ABVV00000000.1,,,False,Unclassified
GCA_000173115.1,ASM17311v1,,,,,,Contig,,,PRJNA28051,SAMN02441804,,,,,,,2005,Flavobacteria bacterium MS024-3C. The DNA for sequencing was obtained by whole-genome multiple displacement amplification. This organism will be used for comparative analysis.,2009-03-16T00:00:00Z,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/115/GCA_000173115.1_ASM17311v1,,GCF_000173115.1,ABVW00000000,,Flavobacteria bacterium MS024-3C,,Full,WGS,,USA: Maine,Maine,USA,,Aquatic,,,,,,,,,,,,,,,,,,,strain=MS024-3C,,,,,United States,,"Boothbay harbor, 1m depth",,,,,,,,,,,,,487797.0,,,Flavobacteria bacterium MS024-3C,,,,identical,,,,,,,,NZ_ABVW00000000,,1384.0,,,Major,,,,,,2009/03/16,DOE Joint Genome Institute,,,,,assembly,,487797.0,,,MS024-3C,,,,,US DOE Joint Genome Institute (JGI-PGF),,,487797.0,,,Mesophilic,,,,,,latest,ABVW00000000.1,,,False,Unclassified
GCA_000173675.1,ASM17367v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,,PRJNA30997,SAMN00000681,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sputigena ATCC 33612,,Oral; Gingival crevices,,,,"Capnocytophaga sputigena is a gram-negative, rod-shaped bacterium located in the gingival crevice and associated with periodontal disease.",2008-11-21T00:00:00Z,,,65.0,,ATCC 33612,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2998000,,,Level 2: High-Quality Draft19x;65,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/675/GCA_000173675.1_ASM17367v1,,GCF_000173675.1,ABZV00000000,,Capnocytophaga sputigena ATCC 33612,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=Capno,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553177.0,,Capnocytophaga sputigena ATCC 33612,Capnocytophaga sputigena ATCC 33612,,,,identical,,,"Capnocytophaga sputigena Capno, ATCC 33612",Reference Genome,,2008-10-01T13:43:02.250,,NZ_ABZV00000000,,2672.0,,,Major,SRR005028,,SAMN00000681,HMP015-454 Sample,,2008/11/21,J. Craig Venter Institute,19x,454-GS-FLX,454-GS-FLX,454,assembly,ATCC 33612,1019.0,Homo sapiens,,ATCC 33612,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553177.0,,,,,,,,,latest,ABZV00000000.1,,,False,Non_marine
GCA_000174755.1,ASM17475v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,,PRJNA31387,SAMN00001917,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga gingivalis ATCC 33624,,Oral,,,,"Capnocytophaga gingivalis is a gram-negative, microaerophilic, CO2 requiring gliding bacterium. It is an opportunistic pathogen associated with periodontitis. The bacterium forms coaggregates with A. israelii that are involved in plaque formation on the surface of teeth. The coaggregates are formed by aminogalactoside- or neuraminlactose-sensitive molecules. ",2009-04-29T00:00:00Z,,,37.0,,ATCC 33624,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2667000,,,Level 2: High-Quality Draft37x;37,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/755/GCA_000174755.1_ASM17475v1,,GCF_000174755.1,ACLQ00000000,,Capnocytophaga gingivalis ATCC 33624,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=ATCC 33624,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553178.0,,Capnocytophaga gingivalis ATCC 33624,Capnocytophaga gingivalis ATCC 33624,,,Microaerophilic,identical,,,Capnocytophaga gingivalis ATCC 33624,Reference Genome,,2009-02-24T00:00:00.000,,NZ_ACLQ00000000,,2588.0,,assembly from type material,Major,SRR013509,,SAMN00001917,HMP016-454 Sample,,2009/04/29,J. Craig Venter Institute,37x,454,454,454,assembly,ATCC 33624,1017.0,Homo sapiens,,ATCC 33624,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553178.0,,,,,,type strain of Capnocytophaga gingivalis,,,latest,ACLQ00000000.1,,,False,Non_marine
GCA_000183155.1,ASM18315v1,,,,,,Complete Genome,,,PRJNA41989,SAMN00138930,,,symbiont,Blood,Rod-shaped,,1954,Riemerella anatipestifer DSM 15868.This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project,2010-11-23T00:00:00Z,,,1.0,USA,DSM 15868,,,,Polyserositis;Septcemia,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/155/GCA_000183155.1_ASM18315v1,Gi04613,GCF_000183155.1,CP002346,,Riemerella anatipestifer ATCC 11845 = DSM 15868,,Full,Complete,,USA,,USA,,Host-associated,Anas platyrhynchos (duck),,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,,,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,Anas platyrhynchos (duck),,,,,,,,,,,,strain=DSM 15868,bacteria_archaea,8240957.0,,isolated by Bruner and Fabricant,,Duck blood,blood,,,,,MLST.Riemerella_anatipestifer.15,,,,,,Nonmotile,,693978.0,,,Riemerella anatipestifer DSM 15868,,,Facultative,identical,,,Riemerella anatipestifer A350/72,,,,DSM 15868,NC_014738,,1972.0,microaerophilic,assembly from type material,Major,,,,,,2010/11/23,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,34085.0,,Nonsporulating,DSM 15868,,,,,US DOE Joint Genome Institute (JGI-PGF),,,693978.0,,37C,Mesophile,,,,Yes,,latest,,,,False,Non_marine
GCA_000183985.1,ASM18398v1,,,,,,Scaffold,Newbler Assembler v. 2.3-04192010,,PRJNA51493,SAMN00215988,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga ochracea F0287,,Oral,Rod,,,Capnocytophaga ochracea strain F0287,2010-12-13T00:00:00Z,,,9.0,,BEI HM-15,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,2635000,,,Level 2: High-Quality Draft34.5x;61,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/985/GCA_000183985.1_ASM18398v1,,GCF_000183985.1,AEOH00000000,,Capnocytophaga ochracea F0287,,Full,WGS,,9606.0,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=F0287,bacteria_archaea,8240957.0,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,"Yes, gliding",Baylor College of Medicine,873517.0,,Capnocytophaga ochracea F0287,Capnocytophaga ochracea F0287,,,Facultative,identical,,,Capnocytophaga ochracea F0287,Reference Genome,,2011-02-15T14:26:03.917,DSM 15868,NZ_AEOH00000000,,2333.0,,,Major,SRR101435,,SAMN00215988,,,2010/12/13,Baylor College of Medicine,34.5x,454-Paired-end,454-Paired-end,454,assembly,BEI HM-15,1018.0,Homo sapiens,No,F0287,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,873517.0,,,Mesophilic,,,,,,latest,AEOH00000000.1,,,False,Non_marine
GCA_000184135.2,ASM18413v2,,,,,,Contig,SOAPdenovo v. 1.1.2 2009,,PRJNA59761,SAMN02469905,,Sample from Riemerella anatipestifer RA-YM,,,Rod-shaped,,,no project description provided.,2010-12-14T00:00:00Z,,,29.0,,,,,,Riemerella anatipestifer is a Gram-negative;rod-shaped bacterium associated with epizootic infections in poultry.,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/135/GCA_000184135.2_ASM18413v2,,GCF_000184135.1,AENH00000000,,Riemerella anatipestifer RA-YM,,Full,WGS,,China: Hubei,Hubei,China,gram -,,,,,,,,,,,,,,,,,,,,strain=RA-YM,,,,,China,,,,,,,MLST.Riemerella_anatipestifer.38,,,,,,,NCBI,913239.0,,Riemerella anatipestifer RA-YM,Riemerella anatipestifer RA-YM,,,,identical,,,,,21183670,2013-12-19T13:15:59.273,,,,2006.0,,,Major,,,SAMN02469905,AENH,,2010/12/14,Huazhong Agricultural University,119x,,Illumina Solexa Genome Analyzer IIx,Illumina,assembly,,34085.0,,,RA-YM,,,Generic,Generic.1.0,Huazhong Agricultural University,,,913239.0,,,,,,,,,latest,AENH00000000.1,,,False,Unclassified
GCA_000186265.1,ASM18626v1,,,,,,Complete Genome,,,PRJNA41529,SAMN00190054,,"Cellulophaga algicola DSM 14237, complete genome.",free living,,Rod-shaped,,,Keywords: GSC:MIGS:2.1,2011-01-18T00:00:00Z,,,1.0,,DSM 14237,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/265/GCA_000186265.1_ASM18626v1,Gi04009,GCF_000186265.1,CP002453,"Prodigal 1.4, GenePRIMP",Cellulophaga algicola DSM 14237,,Full,Complete,,,,,Gram-,,,,,,,,,,,,,,,,,,,,strain=DSM 14237,bacteria_archaea,11034497,,,,surfaces of algal species from the Antarctic marine coast and sea ice,surfaces of algal species from Antarctic marine coast and sea ice,,,,,,,,,,,Motile,"Joint Genome Institute, U.S. Department of Energy",688270.0,,Cellulophaga algicola DSM 14237,Cellulophaga algicola DSM 14237,,,Aerobic,identical,,,"Cellulophaga algicola IC166, DSM 14237",,21475589,2011-01-08T00:00:00.000,"DSM 14237, ACAM 630",NC_014934,representative genome,4163.0,aerobe,assembly from type material,Major,"SRR090670,SRR3926636,SRR402906",,SAMN00190054,6104,,2011/01/18,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,59600.0,,,DSM 14237,,,Generic,Generic.1.0,US DOE Joint Genome Institute (JGI-PGF),,,688270.0,,15-20,Mesophile,,chemoheterotroph,type strain of Cellulophaga algicola,Yes,,latest,,7.5,,False,Marine
GCA_000189415.1,ASM18941v1,,,,,,Complete Genome,,,PRJNA50581,SAMN00713585,,"Weeksella virosa DSM 16922, complete genome.",free living,Urogenital tract,Rod,,,Keywords: GSC:MIGS:2.1,2011-02-15T00:00:00Z,,,1.0,USA,DSM 16922,,,,,,,,,,,,,,,Host,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/415/GCA_000189415.1_ASM18941v1,Gi04366,GCF_000189415.1,CP002455,"Prodigal 1.4, GenePRIMP",Weeksella virosa DSM 16922,,Full,Complete,,USA,,USA,Gram-,,Homo sapiens,,,,,,Homo sapiens,,,,,,,,,,,,strain=DSM 16922,bacteria_archaea,,,,,"Human urine; USA, North Carolina",urine,,,,,,,,,,,,NCBI,865938.0,,Weeksella virosa DSM 16922,Weeksella virosa DSM 16922,,,,identical,,,"Weeksella virosa CL345/78, DSM 16922",,21475590,2011-08-24T00:00:00.000,"DSM 16922, ATCC 43766, CDC 9751, CIP 103040, NCTC 11634",NC_015144,representative genome,2049.0,aerobe,assembly from type material,Major,SRR3926800,,SAMN00713585,,,2011/02/15,JGI|JGI-PGF,,,,,complete,,1014.0,,,DSM 16922,,,Generic,Generic.1.0,JGI,,,865938.0,,,Mesophilic,,,type strain of Weeksella virosa,Yes,,latest,,,,False,Non_marine
GCA_000190595.1,ASM19059v1,,,,,,Complete Genome,,,PRJNA50743,SAMN00713590,,"Cellulophaga lytica DSM 7489, complete genome.",free living,,Rod,,1969,Keywords: GSC:MIGS:2.1,2011-02-28T00:00:00Z,,,1.0,Costa Rica,DSM 7489,,,,,,,,,,,,,,,Mud,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/595/GCA_000190595.1_ASM19059v1,Gi04010,GCF_000190595.1,CP002534,"Prodigal 1.4, GenePRIMP",Cellulophaga lytica DSM 7489,,Full,Complete,,Costa Rica,,Costa Rica,Gram-,,,,,,,,,,,,,,,,,,,,strain=DSM 7489,bacteria_archaea,10425785,,isolated by R.A. Lewin,,"Beach mud; Limon, Costa Rica",beach mud,,10.131928,,-83.518524,,,,,,,"Yes, gliding",NCBI,867900.0,,Cellulophaga lytica DSM 7489,Cellulophaga lytica DSM 7489,,,Aerobic,identical,,,"Cellulophaga lytica Cy l20, DSM 7489",,,2011-08-24T00:00:00.000,"DSM 7489, ATCC 23178, IAM 14306",NC_015167,representative genome,3284.0,aerobe,assembly from type material,Major,SRR3926716,,SAMN00713590,,,2011/02/28,US DOE Joint Genome Institute (JGI-PGF)|JGI|JGI-PGF,,,,,complete,,979.0,,,DSM 7489,,,Generic,Generic.1.0,US DOE Joint Genome Institute (JGI-PGF),,,867900.0,,,Mesophile,,chemoheterotroph,type strain of Cellulophaga lytica,Yes,,latest,,7.5,Non_marine,False,Non_marine
GCA_000191565.1,ASM19156v1,,,,,,Complete Genome,,,PRJNA49039,SAMN02603017,,Sample from Riemerella anatipestifer RA-GD,,,,,,Riemerella anatipestifer.This species was isolated from an infected duck.,2011-03-07T00:00:00Z,,,1.0,China: Guangzhou,,,,,,,,,,,,,,,,,,,many frameshifted proteins,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/565/GCA_000191565.1_ASM19156v1,,GCF_000191565.1,CP002562,,Riemerella anatipestifer RA-GD,,Full,Complete,,China: Guangzhou,Guangzhou,China,,,Duck,,,,,,,,,,,,,,,,,,strain=RA-GD,,,,isolated from an infected duck,,,infected duck,,,,,MLST.Riemerella_anatipestifer.16,,,,,,,NCBI,992406.0,,Riemerella anatipestifer RA-GD,Riemerella anatipestifer RA-GD,,,,identical,,,,,21441509,2014-01-30T11:19:26.053,,NC_017569.1,,1985.0,,,Major,,,SAMN02603017,CP002562,,2011/03/07,"Beijing Institute of Genomics, Chinese Academy of Sciences|Institute of Veterinary Medicine Guangdong Academy of Agricultural Sciences",,,,,complete,,34085.0,,,RA-GD,,,Generic,Generic.1.0,"Beijing Institute of Genomics, Chinese Academy of Sciences",,,992406.0,,,,,,,,,latest,,,,False,Non_marine
